,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
140,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesBreaks,,,,,,,,,,
141,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatBreaks,,,,,,,,,,
142,,mannwhitneyu,,,,,,,promiseNumberOfCatchesRejectsLiteral,,,,,0.26000189886552283,,,115.0,,
143,,ttest_ind,4.585119538813387,7.289086032205924,0.08366447722217808,0.040839306081847805,0.012330252149940083,0.005060263873115253,promiseNumberOfCatchesNonAnErrorObject,0.00016800095827746602,0.00018231833072253483,33.0,49.0,0.019630213493053123,2.1087125359684924,2.694565409509347,2.3812515820144884,0.0003526839644981013,7.121599358811325e-05
144,,ttest_ind,,,,,,,promiseNumberOfChainingCatches,,,,,0.8549620603673883,,,-0.1844720717376315,,
145,,ttest_ind,,,,,,,promiseNumberOfNonCaughtPromises,,,,,0.182565995022486,,,1.343374901125887,,
146,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,promiseNumberOfPromiseRaces,,,,,,,,,,
147,,ttest_ind,,,,,,,promiseNumberOfPromiseAll,,,,,0.6750987831830131,,,0.4226772612852171,,
148,,ttest_ind,,,,,,,asyncAwaitNumberOfAsyncs,,,,,0.7024860784759024,,,-0.38722510444683633,,
149,,ttest_ind,,,,,,,asyncAwaitNumberOfAwaits,,,,,0.4814462330489434,,,-0.7146527170887181,,
150,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,asyncAwaitNumberOfTries,,,,,,,,,,
151,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,asyncAwaitNumberOfTriesLines,,,,,,,,,,
152,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,asyncAwaitNumberOfCatches,,,,,,,,,,
153,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,asyncAwaitNumberOfEmptyCatches,,,,,,,,,,
